catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB103023075400,node_1105-to-node_886,-173.9589923,0.496414592,-37.61719047,-2.462283298,0.000471383
GB104026066660,node_3027-to-node_3018,96.39141476,11.36275917,-37.49796203,-0.566279926,0.004962746
GB107042011350,node_8014-to-node_8015,99.67271772,2.773619484,-37.42430785,-0.553243546,0.099259385
GB106039029810,node_10625-to-node_10626,93.29362913,6.482032481,-37.39541598,-0.410648759,0.031833967
GB109054050030,node_14020-to-node_14021,90.27674826,5.155229609,-37.35632389,-0.695028263,0.044151314
GB112071065440,node_15811-to-node_15812,56.68790829,0.127251907,-37.35195544,-1.080266734,0.795324077
GB112069061151,node_12841-to-node_12839,-274.7380357,4.628932068,-37.27215316,-2.713441753,0.024968833
GB105035040190,node_11083-to-node_11084,93.84192955,6.216940498,-37.12859993,-0.552618344,0.000148578
GB108046004920,node_13359-to-node_13360,95.58080535,4.656536733,-36.99234724,-0.405195399,0.144187935
GB109054055080,node_14234-to-node_14235,94.3217707,9.745933033,-36.90817192,-0.613609877,0.005322646
GB108048001340,node_6506-to-node_6503,95.27403419,7.481800456,-36.66068012,-0.590373264,0.000773349
GB104028053460,node_2688-to-node_2689,85.27123636,3.818474523,-36.65694427,-0.325897738,0.007757182
GB103025072500,node_2607-to-node_2608,-172.7071171,0.498087205,-36.29839093,-2.533999671,0.031175757
GB109054044230,node_12807-to-node_12808,-105.6303787,5.5901456,-36.15865925,-1.978177651,0.076565799
GB105034051210,node_8868-to-node_8869,95.710574,5.580212245,-36.08385459,-0.448288033,0.083443996
GB108048001380,node_1302-to-node_20432,89.43610541,3.963986257,-35.93461016,-0.467804837,1.75E-05
GB108051020250,node_12500-to-node_12499,92.13374276,5.782688271,-35.6910464,-0.474192635,0.005194178
GB105033037790,node_5504-to-node_20434,97.69152141,10.52766548,-35.58240868,-0.776461999,0.039182864
GB106039037460,node_9842-to-node_9843,97.0006265,6.206269613,-35.56041458,-0.811654699,0.056195337
GB109053027400,node_3599-to-node_3600,92.62751918,5.656704591,-35.51567639,-0.400028385,0.057360413
GB106039029910,node_9512-to-node_9513,97.40346307,10.82517683,-35.28820127,-0.488387641,0.085669535
GB107042016420,node_6306-to-node_6307,94.34115872,6.050049011,-35.19421474,-0.518673323,0.013427503
GB108050019970,node_9677-to-node_9675,81.16194181,1.568919,-35.1904312,-0.418495589,0.02402087
GB112068060350,node_14964-to-node_14965,-224.392304,8.426344946,-35.18631482,-1.979144737,0.017121791
GB108045014970,node_11380-to-node_11381,93.70027828,5.511231916,-35.09194916,-0.500084569,0.008799971
GB109054050250,node_15450-to-node_15678,93.11634473,7.868860697,-35.05195141,-0.495126142,0.005083136
GB108045009170,node_12037-to-node_12036,89.66403034,3.830946861,-35.02064084,-0.77360824,0.088140686
GB109053022170,node_6643-to-node_6644,94.84997275,5.616994792,-34.94539134,-0.665900456,0.013664082
GB104026067021,node_20364-to-node_20363,94.3020524,9.217385601,-34.88988244,-0.439700247,0.045691501
GB108043022560,node_8293-to-node_8294,88.0671002,4.925501262,-34.88901485,-0.297614488,0.017799589
GB107042022710,node_9866-to-node_9861,89.85498519,6.483809727,-34.46705833,-0.475628599,0.002080099
GB104027069350,node_3452-to-node_3453,-88.32239925,0.31976707,-34.41077381,-2.476295105,0.15530355
GB105034050932,node_9035-to-node_3684,88.28902157,4.909632982,-34.40820398,-0.435621236,0.000121524
GB108048001140,node_7966-to-node_7964,93.0655901,4.255850317,-34.40007287,-0.498430418,0.007293017
GB104027068841,node_3943-to-node_3942,92.66222647,5.51230885,-34.10708137,-0.438490363,0.02495716
GB104028058190,node_7016-to-node_7178,97.08699907,13.57965741,-33.57266739,-0.605325774,5.42E-05
GB107101006220,node_9207-to-node_9208,89.3603284,3.413123489,-33.49433825,-0.518650268,0.000633602
GB105030056230,node_7357-to-node_7358,87.93506617,15.48011142,-33.49129774,-0.423680491,0.001016312
GB104028053220,node_3566-to-node_3565,94.30186762,6.518650699,-33.4526379,-0.417620458,0.059421199
GB105033038030,node_14289-to-node_14290,87.06363368,11.19848977,-33.42644371,-0.760119105,0.207767407
GB109054044300,node_4132-to-node_4133,95.37582524,5.361476342,-33.26759005,-0.674222669,0.003965022
GB109054032820,node_14268-to-node_14269,-136.7374588,8.333948926,-33.23107617,-2.326955277,0.003557371
GB108043016160,node_10063-to-node_10064,81.59331326,3.407080715,-32.88267023,-0.424197301,0.020844105
GB106039023140,node_7065-to-node_7066,96.94882242,5.333793216,-32.86410226,-0.583564103,0.007635283
GB112073071100,node_15565-to-node_15562,80.14473828,1.770062973,-32.78556943,-0.39869796,0.014117763
GB108048002060,node_9974-to-node_9975,92.17184881,5.967285771,-32.73552184,-0.75372122,0.095830779
GB107040019570,node_11030-to-node_11034,85.59435345,6.118467758,-32.69312734,-0.368680541,0.009895798
GB108048001820,node_9951-to-node_9947,96.82340494,6.824555425,-32.64716708,-0.557179807,0.024853735
GB104027063800,node_3911-to-node_3912,92.6843573,8.88059405,-32.4822284,-0.391315647,0.061466913
GB104029062130,node_7768-to-node_7769,94.45101322,8.981238788,-32.31029189,-0.367545944,0.141551459
GB108047008070,node_7904-to-node_7900,80.25974151,1.506888765,-32.29733402,-0.464891874,0.015735023
GB106039023300,node_6887-to-node_6882,94.61407912,6.114992047,-32.28494629,-0.44227698,0.046362768
GB104028047000,node_2676-to-node_2285,86.11178447,12.15583061,-32.25897871,-0.157655117,0.173830358
GB106039023660,node_10672-to-node_10673,93.90539235,7.40191601,-31.98679859,-0.310436165,0.182620388
GB109055041940,node_13909-to-node_13905,93.4184519,7.631803991,-31.87569179,-0.512156701,0.013239945
GB104026066941,node_3172-to-node_3173,90.47051391,7.69636309,-31.85969192,-0.412708852,0.007678913
GB106039023210,node_7789-to-node_7790,95.99604087,11.85316491,-31.44905514,-0.371911361,0.262505703
GB112068055310,node_15717-to-node_15718,95.23934382,5.827587336,-31.43444521,-0.507662234,0.012767961
GB105030056750,node_7027-to-node_7028,95.90636432,10.69803708,-31.37129442,-0.474328563,0.028880705
GB108046005430,node_12788-to-node_12785,94.67574082,5.09871041,-31.27252475,-0.353624523,0.226467079
GB108045014960,node_11480-to-node_11481,95.82201382,6.734123689,-31.15807009,-0.735282335,0.039975136
